Company,Email,Status
Almultaka,info@almultaka.com.sa,
SDT,asdp@sdt.com.sa,
Chevron,comment@chevron.com,
Suhuf,sami@suhuf.net.sa,
Alsalamaircraft,s_hoshan@alsalamaircraft.com.sa,
KJO,recruitment@kjo.com.sa,
Tadawul,webinfo@tadawul.com.sa,
Arabexperts,info@arabexperts.com,
Alsalamaircraft,cfo@alsalamaircraft.com.sa,
Riyadh Cables,rcgc@riyadh-cables.com,
Somac IT,sales@somac-it.com,
Maaden,maaden@maaden.com.sa,
Sabic,almady@sabic.com,
Saudico,ses@saudico.com.sa,
Arcom,ayalkhiary@arcom.com.sa,
Somac IT,support@somac-it.com,
Sipchem,HR@sipchem.com,
Saparabia,info@saparabia.com,
Sesdam,sesdam@nournet.com.sa,
ELM,info@elm.com.sa,
Keylink,info@keylink.com,
NCSC,info@ncsc.com.sa,
Maaden,dabbaghae@maaden.com.sa,
NIC,general@nic.com.sa,
Nscsa,ceomail@nscsa.com.sa,
SE,ceo@se.com.sa,
MIS,info@mis.com.sa,
SIEC,siec@siec.com.sa,
Natmetalco,sales@natmetalco.com,
Natcom,daghameen@natcom.com.sa,
Arabsea,info@arabsea.com,
Newera,info@newera.com.sa,
Arabia,akam@arabia.com,
Alajmico,alajmico@saudionline.com.sa,
ATCO,apmms@atco.com.sa,
Smith,rgalloway@smith.com,
ATI,sales@ati.com.sa,
Abbasm,abbasm@anet.sa,
Alhejailan Consultants,ahc@alhejailan-consultants.com,
Alhajry Overseas,info@alhajry-overseas.com.sa,
Amsari,amsari@emailsrvc.com,
Alsuwaiket,alsuwaiket@saudionline.com.sa,
Almisehal,helpdefk@almisehal.com,
AL HOTY,bbanzon@al-hoty.com,
ACEC SA,waleed.abuzaid@acec-sa.com,
AQFK,aqfk@sahara.com.sa,
Abssa,abssa@awalnet.net.sa,
Bakeratlas,mike.scott@bakeratlas.com,
Aujan,ghalili@aujan.com.sa,
Amcde,jihad@amcde.com,
Frankssaudi,oussama@frankssaudi.com,
Camerondiv,harbourm@camerondiv.com,
Bakeroiltools,ed.parker@bakeroiltools.com,
Inspectorate,operations.rastanura@inspectorate.com.sa,
Barwani,tariq@barwani.com,
Hugayet,aharamco@hugayet.com.sa,
Shoaibigroup,anwar.ahmad@shoaibigroup.com,
PI Consult,pi-consult@sps.net.sa,
Ncmsdm,ncmsdm@zajil.net,
Weatherfordsa,george.coutts@weatherfordsa.com,
Summit,summit@zajil.net,
Sayboltsa,manadmin@sayboltsa.com,
Zamil OM,zomco@zamil-om.com,
Abbasm,abbasm@anet.sa,
Zparabia,zparabia@saudionline.com.sa,
ACEC SA,mail@acec-sa.com,
WWD,wwd@smi.com.sa,
SABB,recruitmentsabb@sabb.com,
STC,contact@stc.com.sa,
Opmubarak,opmubarak@rediffmail.com,
STC,ecareer@stc.com.sa,
Saudi Resume,saudi_resume@myway.com,
HP,info@hp.com.sa,
Gulfbase,employment@gulfbase.com,
Baesystems,SaudiArabia@baesystems.com,
Riyadh Cables,rcgc@riyadh-cables.com,
Saparabia,info@saparabia.com,
Iyadfakhry,iyadfakhry@hotmail.com,
Alfozan,info@alfozan.com,
Mugbil,info@mugbil.com,
Smbasuliman,jamshed@smbasuliman.com,
Gcspaints,sales@gcspaints.com,
Baasem,ali@baasem.com,
Worldispnetwork,cv@cv2005.worldispnetwork.com,
HAJ,edris@haj.com.sa,
Mansoork45,mansoork45@hotmail.com,
Switzgroup,careers@saudi.switzgroup.com,
Corporate SA,corporate_sa@hotmail.com,
Alhokair,ufarook@alhokair.com.sa,
Jobsinmarketing2005,jobsinmarketing2005@rediffmail.com,
NET,sure@saudi.net.sa,
Hrjed,hrjed@hotpop.com,
Socproject2006,socproject2006@hotmail.com,
Allied Medical,hr@allied-medical.com,
AYTB,aytb@qatar.net.qa,
Jalal Mounayar,jalal.mounayar@gmail.com,
Almarai,careers@almarai.com,
Alfanar,rec1@alfanar.com,
AA Waseem,aa_waseem@yahoo.com,
Jobsindammam,jobsindammam@gmail.com,
SFC KSA,hr@sfc-ksa.com,
Jobsin2006,jobsin2006@yahoo.com,
SA,info@iics.sa.com,
Wahabnk,wahabnk@gmail.com,
Robian,jobs@robian.com.sa,
Infoline,info@infoline.com.sa,
Aztracon,aztracon@tri.net.sa,
Awalnet,adartsigns@awalnet.com.sa,
Roudah,roudah@cyberia.net.sa,
Saudi A,saudi.a@rediffmail.com,
Foodworld,foodworld@mail.com,
Robian,hrd@robian.com.sa,
Fkashkash,fkashkash@yahoo.com,
Globemedsaudi,admin@globemedsaudi.com,
Ateico,ignou@ateico.net,
Hotjob7,hotjob7@yahoo.com,
Financerecruitem,financerecruitem@yahoo.com,
SONY,info@sony.com,
Saudianfal,saudianfal@yahoo.com,
Topnotchpositions,topnotchpositions@yahoo.com,
Alhamaco,humres@alhamaco.com,
Safari E,hr-e@safari-e.com,
Equipmentrentaljobsinuae,equipmentrentaljobsinuae@yahoo.com,
AKEL,akelco@akel.com.sa,
JOBS WFI,jobs_wfi@yahoo.com,
Arabequipmentest,sales@arabequipmentest.com,
JREC,furfab@jrec.com.sa,
Youssef UTC,youssef.utc@zajil.net,
Alhokair,itjobs@alhokair.com.sa,
Metco,jobs@metco.com.sa,
Gulfelite,gulfelite@hotmail.com,
Nesma,shayaisd@nesma.net.sa,
LTR C,ltr_c@yahoo.com,
Epcco,purchase@epcco.com,
Careersatriyadh,careersatriyadh@yahoo.com,
Anholdings,recruit@anholdings.com,
Figuresgroup,arch@figuresgroup.com,
Xchanging,baesystemsrecruitmentext2@hr.xchanging.com,
Saudi Resume,saudi_resume@yahoo.com,
Dasmanfood,info@dasmanfood.com.sa,
Aljomaihbev,Recruitment@aljomaihbev.com,
Najmi9455,najmi9455@yahoo.com,
Aljomaihbev,careers@aljomaihbev.com,
Hrmanager04,hrmanager04@yahoo.com,
Arbsco,arbsco@yahoo.com,
Turki D,TURKI_D@hotmail.com,
AL Babtain HIMB,al-hassan@al-babtain-himb.com,
Alsuroor,hr@alsuroor.com,
Breem,breem@awalnet.net.sa,
Hrconsultant LBN,hrconsultant_lbn@yahoo.com,
Alnafea,info@alnafea.com.sa,
JOBS A M,jobs_a_m@yahoo.com,
Alsuwaidi,sisrecruitment@alsuwaidi.com.sa,
Baziad,baziad@baziad.com,
ABB,syed.zafer@sa.abb.com,
Bravo Power,recruiting@bravo-power.com.sa,
AL ARAJ,karan@al-araj.com,
AECL,jobs@aecl.com,
Surebeammiddleeast,sahaider@surebeammiddleeast.com,
Atlasahr,atlasahr@hotmail.com,
AL Baddad,info@al-baddad.com,
Pwclogistics,recruitment.ksa@pwclogistics.com,
Saudicast,info@saudicast.com,
Alfanar,rec1@alfanar.com,
Schneider Electric,SA-Human-Resources@sa.schneider-electric.com,
AUTO Career,auto_career@yahoo.com,
Alkhorayef,hr@alkhorayef.com,
EY,recruitment.services@sa.ey.com,
Alsaidaest,alsaidaest@zajil.net,
Alkhodari,admin@alkhodari.com,
Rcjubil,recruitment@RCJubil.gov.sa,
Aloula,info@aloula.com,
Altoukhi,abdulhadi@altoukhi.com,
Swedishtradecouncil,swedishtradecouncil@gmail.com,
Astra,astra@astra.com,
Asasyah,info@asasyah.com,
Backfillingjob,backfillingjob@hotmail.com,
Badgaish,jobs@badgaish.com,
Atlas4hr,Atlas4hr@hotmail.com,
Jobs2005e,jobs2005e@yahoo.com,
Carriersaudi,jobs@carriersaudi.com,
Saudichevron,scphr@saudichevron.com,
Danfoss,danfoss@emirates.net.ae,
Aah1954,aah1954@hotmail.com,
Estimator001,estimator001@yahoo.com,
Damacgroup,recruitment@damacgroup.com,
EXEL,batoul.ashi@exel.com,
EL Zayat,aly@el-zayat.com,
IPC KSA,asif@ipc-ksa.com,
JOBS GPS,jobs.gps@sps.net.sa,
JREC,furfab@jrec.com.sa,
V K 000,v_k_000@yahoo.com,
IMC,edward@imc.com.sa,
ISYS,jobs@isys.com.sa,
Production KSA,production.KSA@gmail.com,
PMD CO,pmd@pmd-co.com,
CSM KSA,CSM.KSA@gmail.com,
Jeddah Company,jeddah_company@yahoo.com,
Fax2417049,fax2417049@yahoo.com,
Maaden,maaden@maaden.com.sa,
People ONE,gerald.jude@people-one.com,
Marblek6,marblek6@yahoo.com,
Motorola,slhh002@motorola.com,
Safari,jaleel@safari.com.sa,
Mynaghi,hrd@mynaghi.com.sa,
UMG,ifo@umg.com.sa,
Intercol,intercol@emirates.net.ae,
Power Horizon,info@power-horizon.com,
Indsci,mchehab@indsci.com,
Services,afs@recruit.services.com.sa,
Saudihr 2006,saudihr-2006@hotmail.com,
Thuraya,employment@thuraya.com,
Integrated Telecom,jobs@integrated-telecom.com,
Tetratech,info@tetratech.com.sa,
Wartsila,wpccl.saudi@wartsila.com,
Afecest,afecest@yahoo.com,
RTCC,aazmi@rtcc.com.sa,
Zahid,info@zahid.com,
EDSE OTAO,edse_otao@hotmail.com,
MSCC,hrm@mscc.com.sa,
Zagzoog,z4ha@zagzoog.com,
Vinnellarabia,vaslhrb@vinnellarabia.com,
Jopcv,JOPCV@yahoo.com,
Cmhiring,cmhiring@gmail.com,
Jobsready,jobsready@gmail.com,
Hrsaudi1005,hrsaudi1005@yahoo.com,
Loyalty INC,jobs@loyalty-inc.com,
Marketcv,marketcv@yahoo.com,
Mmujeeb 6100,Mmujeeb_6100@hotmail.com,
Alyaum,mbmanager@alyaum.com,
Jobsht83,jobsht83@yahoo.com,
JOBS 250,jobs_250@yahoo.com,
Dynatrde,dynatrde@emirates.net.ae,
Jeddah987,jeddah987@yahoo.com,
Wataniaind,jobs@wataniaind.com,
Mangcv,mangcv@yahoo.com,
Fooda7,fooda7@hotmail.com,
PG,hadadi.ha@pg.com,
Mriwwuae,nw@mriwwuae.ae,
Hugayet,nizar@hugayet.com.sa,
ICC,pcie@icc.com.sa,
MED,anaziq@ngha.med.sa,
Jobsearchksa,Jobsearchksa@gmail.com,
NIE,ahmed@nie.com.sa,
SIEC,siec@siec.com.sa,
Smalkhelaifi,smalkhelaifi@gmail.com,
SA Careers,sa_careers@yahoo.com,
Bayanat,yabdullah@bayanat.com.sa,
SLB,recruiting@al-khobar.oilfield.slb.com,
Detasad,info@detasad.com.sa,
Hotjob7,hotjob7@yahoo.com,
HR 510,hr_510@yahoo.com,
K M M F,k.m.m.f@hotmail.com,
Hugayet,aharamco@hugayet.com.sa,
Abedalmishal,info@abedalmishal.com,
Redagroup,cfo@redagroup.com,
Hr2004rd,hr2004rd@yahoo.com,
SHB,careers@shb.com.sa,
Sipchem,HR@sipchem.com,
Iimit,iimit@sahara.com.sa,
ANB,careers@anb.com.sa,
SAIB,Recruitment@saib.com.sa,
Alfransi,jobs@alfransi.com.sa,
Alrabie,marketinginfo@alrabie.com,
Aldrees,info.petrol@aldrees.com,
Jabalomar,info@jabalomar.com,
Flybmi,cargo.marketing@flybmi.com,
Alahli,z.fallatah@alahli.com,
Marafiq,recruitment@marafiq.com.sa,
Overseasoiljobs,apply@overseasoiljobs.com,
SDGC,sdgc@sps.net.sa,
SRO,Humanresource@sro.org.sa,
Ccmrecruitment,liezhel@ccmrecruitment.com,
ISDB,idbarchives@isdb.org.sa,
KPMG,privacy@kpmg.com,
Career PATH Saudiarabia,career_path_saudiarabia@yahoo.com,
Biosaline,f.taha@biosaline.org.ae,
Axiomtelecom,kas@axiomtelecom.com,
Jeddah Company,jeddah_company@yahoo.com,
Intercol,jobs.si@intercol.com,
ISDB,adahi@isdb.org.sa,
Irasheed2006,irasheed2006@yahoo.com,
Alahli,info@alahli.com,
Dalmaenergy,saudicv@dalmaenergy.com,
Jobs2005 CV,jobs2005_cv@yahoo.com,
Ttcoman,info@ttcoman.com,
Herfy,info@herfy.com,
ZATE,info@zate.com.sa,
Sasref,info@sasref.com.sa,
JOBS Riyadh,jobs.riyadh@yahoo.com,
Recruitsksa,recruitsksa@yahoo.com,
Uitc2006,uitc2006@yahoo.com,
Expocareer,expocareer@gmail.com,
Efira 1,efira_1@yahoo.com,
Typsa,arabia@typsa.es,
Alhussan,hr@alhussan.edu.sa,
Mobily,callcenter@mobily.com.sa,
Al3jmi,al3jmi@gmail.com,
DHCL Projects,dhcl_projects@yahoo.com,
Farranoussama,farranoussama@yahoo.com,
CMCI SA,moussa@cmci-sa.com,
Hrryd,hrryd@hotmail.com,
Minhajroma,minhajroma@hotmail.com,
Lock777,lock777@gmail.com,
Giordano,career@giordano.com.sa,
Nassan0a0,nassan0a0@yahoo.com,
Alharbi,emd@alharbi.com.sa,
Marblek6,marblek6@yahoo.com,
Jobsincompany,m0306@jobsincompany.com,
Pilogksa,imad@pilogksa.com,
Menahr,menahr@gmail.com,
Aaltaher,kmasrouha@aaltaher.com,
Cellucom,info@cellucom.com,
Otaishan,areel@otaishan.com.sa,
Detasad,info@detasad.com.sa,
ATC,salam@atc.com.sa,
Brainlease,kuthb@brainlease.com,
Darinfotech,anand@darinfotech.com,
Spgsteel,jobsfd@spgsteel.com,
Sdjobs,sdjobs@sps.net.sa,
Aramco,hazzaa.moahmmad@aramco.com,
Almarai,recruitment@almarai.com,
Saudi Resume,saudi_resume@myway.com,
Airarabia,pilotrecruitment@airarabia.com,
Jatco,hr@jatco.com.sa,
Careers,careers@gmail.com,
Linkindiagcc,linkindiagcc@yahoo.com,
Jatco,hrsaudi@jatco.com.sa,
Tingdh,tingdh@gmail.com,
Holidayautos,reservations2@holidayautos.com.sa,
MED,kfmc@kfmc.med.sa,
Hugayet,nizar@hugayet.com.sa,
Hrconsultant LBN,hrconsultant_lbn@yahoo.com,
Mercan,info@mercan.com,
AL HOTY,buddyvillas@al-hoty.com,
Arabianbemco,admin.dpt@arabianbemco.com,
Kwsal,aasfoor@kwsal.com,
Kfshdm,kfshdm@gmail.com,
Humanitariancity,sbahchr@humanitariancity.org.sa,
AMPO,ampo@ampo.com.sa,
Nafkal,info@nafkal.com,
Internationalpaint,kevin.bell@internationalpaint.com,
INFO CV,info-cv@hotmail.com,
CV Candidate,cv.candidate@yahoo.com,
Sails,info@sails.net,
Shifajed,shifajed@hotmail.com,
Arabianbemco,dpt@arabianbemco.com,
Aramco,mustafa.khamees@aramco.com,
RSAL,alrashidf@rsal.com,
MED,jobs@kfmc.med.sa,
Hakgroup,bijui@hakgroup.com,
Masorg,consult@masorg.com,
ITM,m.khodair@itm.com.sa,
Omatrajed,omatrajed@saudionline.com.sa,
Airarabia,it_recruitment@airarabia.com,
Airarabia,recruitment@airarabia.com,
Marblek6,marblek6@yahoo.com,
Careershr2006,careershr2006@gmail.com,
Alkhorayef,hr@alkhorayef.com,
Safari,turki@safari.com.sa,
EAJB,idris.slc@eajb.com.sa,
HRMS INFO,hrms_info@yahoo.com,
N Somarajan,n_somarajan@yahoo.com,
JOBS WFI,jobs_wfi@yahoo.com,
Gdcjed,gdcjed@yahoo.com,
Myqassem,myqassem@hotmail.com,
Daleelteq,hr@daleelteq.com,
Msargroup,info@msargroup.com,
Fishingksa,fishingksa@gmail.com,
CBI,acbi-career@cbi.com,
Tuttimango,tuttimango@sps.net.sa,
Jciservices,jciservices@yahoo.com,
Salaliw,salaliw@yahoo.com,
JOB CV Email,job_cv_email@yahoo.com,
Kojamjoom,itjobs@kojamjoom.com,
Ermatc,hrd@ermatc.com,
AL Khaleej,resume@al-khaleej.net,
Personnelksa,personnelksa@gmail.com,
Riyadh Cables,rcgc@riyadh-cables.com,
Metco,jobs@metco.com.sa,
Souksconsulting,executive@souksconsulting.com,
Fastrecruitment,fastrecruitment@hotmail.com,
Ksajob06,ksajob06@yahoo.com,
Qecons,info@qecons.com,
Saudi JOB APP,saudi_job_app@yahoo.com,
Light2005 JOBS,light2005-jobs@yahoo.com,
ANET,alwassel@anet.net.sa,
Saudichevron,scphr@saudichevron.com,
Nasaviation,hr@nasaviation.com,
